# width: 200
# set_dx: 0.01
# set_courant: 0.5
# set_time: 100
k,Hy,Ez,mu_r,eps_r,sigma_m,sigma_e,ch1,ch2,ce1,ce2
169,-1.8106270430149495e-19,4.0513530227445986e-16,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
170,-1.7597126839176826e-20,4.1721106057751381e-17,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
171,-1.5975985928827861e-21,4.0155412230502753e-18,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
172,-1.3544406488020916e-22,3.6113834043245337e-19,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
173,-1.0717824955646064e-23,3.033824212650084e-20,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
174,-7.9109285272731588e-25,2.3794463439392076e-21,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
175,-5.442143256496046e-26,1.7411805671849121e-22,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
176,-3.4858163329120612e-27,1.1877803175865526e-23,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
177,-2.0764315560645122e-28,7.5460214811654292e-25,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
178,-1.1486932330275804e-29,4.4593480780647005e-26,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
179,-5.8919304099713573e-31,2.4478591227977689e-27,1,1,0,0,1,0.0013272093639965358,1,188.36515683343492
180,-2.7961547835337773e-32,1.2460407505687767e-28,1,1,21.957419359559751,4.5840187452306988e-05,0.99970862153105944,0.0013270160038803133,0.99991365678674893,188.35702480698217
181,-1.2241507006719972e-33,5.867789735783745e-30,1,1,101.65471925722109,0.0003667214996184559,0.9986517385646565,0.0013263146513954841,0.99930946297514067,188.30012027594145
182,-4.9248579299490325e-35,2.5479989395036117e-31,1,1,278.94054964181464,0.0012376850612122881,0.99630471510863483,0.0013247571556413084,0.99767134706611926,188.14583829588437
183,-1.8119383361255158e-36,1.0160021051839192e-32,1,1,592.85032270811359,0.0029337719969476472,0.99216246927873109,0.0013220083419145964,0.99448902316853427,187.8461188258527
184,-6.0613212796996542e-38,3.7012410886321879e-34,1,1,1082.4194506508904,0.0057300234315383718,0.98573648234306976,0.0013177440268976319,0.98926456810809282,187.35406617743803
185,-1.8310726772462232e-39,1.2244196492615075e-35,1,1,1786.6833456649176,0.0099014804896983052,0.9765648307514907,0.0013116576759598032,0.9815213825326814,186.62479299478667
186,-4.9559203469933796e-41,3.6524336719489396e-37,1,1,2744.6774199449692,0.01572318429614129,0.9642240014350153,0.0013034682438456487,0.97081518262059663,185.61645548202168
187,-1.1908839428138767e-42,9.7449298918167539e-39,1,1,3995.4370856858177,0.023470175975581178,0.94834184442809777,0.0012929287700956264,0.95674647741130259,184.29142855042568
188,-2.5141922885372204e-44,2.3040183129206187e-40,1,1,5577.997755082235,0.03341749665273179,0.92861082284853214,0.001279835171794818,0.93897378612112359,182.61755065931229
189,-4.6076395369553642e-46,4.7763324257821793e-42,1,1,7531.3948403289969,0.045840187452306974,0.90480056535573816,0.0012640345734430155,0.91722667089451726,180.56935127414505
190,-7.2282112365273947e-48,8.5766570269164073e-44,1,1,9894.6637536208709,0.061013289499020601,0.87676864576894809,0.0012454324603598228,0.89131753847587591,178.12916237841722
191,-9.5475173880435536e-50,1.3153409556920643e-45,1,1,12706.839907152636,0.079211843917586441,0.84446853897665142,0.0012239979582634106,0.8611511331016023,175.28801253870421
192,-1.0409281780513974e-51,1.6945931943233886e-47,1,1,16006.958713119064,0.10071089183271842,0.80795384939429771,0.0011997666392948472,0.82673072755086574,172.04620999378676
193,-9.1384224107656312e-54,1.7978458304875142e-49,1,1,19834.055583714922,0.12578547436913032,0.76737817663498475,0.0011728404328765376,0.78816022861069357,168.41354095278206
194,-6.2551929081359956e-56,1.5323314940951427e-51,1,1,24227.16593113499,0.15471063265153603,0.72299034900584869,0.0011433844626381109,0.74564173474479034,164.40903957009593
195,-3.1921878564456873e-58,1.0159742791325436e-53,1,1,29225.325167574028,0.18776140780464942,0.67512517474500144,0.0011116209088939497,0.69946848295443198,160.06032366259566
196,-1.1343619600511271e-60,5.0110851306669211e-56,1,1,34867.568705226833,0.22521284095318414,0.62419027622546985,0.0010778202717592819,0.65001354670761047,155.40253025143562
197,-2.4862341823735988e-63,1.7174280466479697e-58,1,1,41192.931956288165,0.26733997322185432,0.57064992439224405,0.0010422906436069186,0.59771503752902211,150.4769218096458
198,-2.5124668866291224e-66,3.6231458037504979e-61,1,1,48240.45033295278,0.31441784573537351,0.51500703050739916,0.0010053657587050027,0.54305886380653601,145.32926244207002
199,0,3.5176566326836785e-64,1,1,56049.15924741546,0.36672149961845579,0.45778455111266481,0.0009673926534631076,0.4865602717609111,140.00807936629883
